Provincia;Nacimientos
Buenos Aires;93219
Catamarca;2295
Chaco;8057
Chubut;3140
Ciudad Aut. de Buenos Aires;13561
Cordoba;19277
Corrientes;6869
Entre Rios;7699
Formosa;4105
Jujuy;4246
La Pampa;1783
La Rioja;2162
Lugar no especificado;906
Mendoza;11463
Misiones;8744
Neuquen;3828
Otro pais;104
Rio Negro;4095
Salta;9255
San Juan;4803
San Luis;2637
Santa Cruz;2038
Santa Fe;19021
Santiago del Estero;6118
Tierra del Fuego;957
Tucuman;9616
